sentence,label
"Джеймс «Бадди» Макгирт (James (Buddy) McGirt, тренер Дадашева упрашивал дагестанского спортсмена остановить бой, но тот хотел продолжать.",0
"«За всю нашу долгую карьеру нам довелось играть во многих интересных местах, но это шоу в Гаване станет для нас важнейшим событием, и мы надеемся, что и для наших кубинских друзей тоже», — это было отмечено в заявлении группы, опубликованном перед прибытием музыкантов на Кубу.",0
"Ранее, 7 декабря, толпа болельщиков перекрыла движение по Ленинградскому проспекту в Москве, требуя наказать виновных в убийстве, а в Санкт-Петербурге прошла акция в память о Егоре Свиридове на площади Восстания.",0
"В субботу, 21 июля 2018 года, на арене СК «Олимпийский» в Москве украинец Александр Усик победил уроженца Северной Осетии россиянина Мурата Гассиева в финале Всемирной боксерской суперсерии (WBSS), став абсолютным чемпионом мира в первом тяжёлом весе, обладателем кубка Мохаммеда Али, поясов чемпиона мира по версиям WBA super, WBC, IBF, WBO, а также титула журнала The Ring.",0
"Представитель талибов Забиулла Муджахид в твиттер-аккаунте 30 апреля заявил, что в провинции Каписа убито 2 «американских захватчика» и 3 афганских силовика, множество ранено.",-1
"Астронавт Пирс Селлерс, который брал с собой в полёт Медаль Копли и портрет Стивена Хокинга сказал: «Стивен Хокинг — несомненно, кумир всех нас, вовлечённых в исследование космоса.",0
"Президент США Дональд Трамп охарактеризовал ситуацию с Северной Кореей, как «очень опасную», однако выразил надежду на то, что кризис удастся разрешить.",0
"По словам Мнучина, «Мадуро цепляется за Кубу, чтобы остаться у власти, покупая военную и разведывательную помощь в обмен на нефть».",-1
Поводом для возможного задержания якобы стали подозрении в причастности Макафи к убийству соседа — Грегори Ваента Фолла (Gregory Viant Faull).,-1
Джон Леннон был убит в 1980 году одним из его фанатов — 25-летним охранником из штата Гавайи Марком Дэвидом Чэпменом.,0
"27 октября боевики «Талибана» совершили нападение на американскую базу в Кандагаре, убив переводчика-афганца.",-1
"С 1931 года Самбук работает в Институте оленеводства ВАСХНИЛ, совмещая эту работу с работой в Ботаническом институте.",0
"«У приложения 110 миллионов загрузок только в США, TikTok представляет собой потенциальную угрозу контрразведки, которую мы не можем игнорировать.»",0
Apple и Samsung нарушали патенты друг друга,-1
"Обложку для альбома нарисовал Кайл Ламберт, художник-иллюстратор.",0
"Тем не менее, в пятницу, 8 сентября 2017 года, стартовала мировая премьера фильма Андресса Мускетти (Andrés Muschietti).",0
"Обвинение в убийстве Политковской предъявлено чеченцу Рустаму Махмудову, а его брат, дядя и бывший сотрудник правоохранительных органов обвиняются в причастности к ее смерти.",-1
"Праздничные торжества начались на Горе Герцеля в Иерусалиме, где собрались многие видные израильские общественные и политические деятели, такие как президент Израиля Шимон Перес и премьер-министр Израиля Биньямин Нетаньяху, также участие в траурной церемонии приняли министры и депутаты кнессета.",0
Однако сразу же после критики в адрес Беларуси последовали санкции.,-1
Их обвиняют в избиении протестующих во время визита Эрдогана в столицу США в прошлом месяце.,0
"Никто не заинтересован в мирном решении больше, чем президент Трамп.",0
"В понедельник Стефан сообщил, что ищет кладбище уже за пределами Массачусетса, и выразил сомнение, что Россия согласится принять тело Тамерлана.",-1
"МТБЮ выдвигает обвинения как против Младича, так и против его бывшего союзника — бывшего политического лидера боснийских сербов Радована Караджича.",0
"Анна Политковская была убита выстрелами в грудь, голову и плечо 7 октября 2006 года а Москве.",0
"Лауреатами в области физики стали бельгийский учёный Франсуа Энглер и британский профессор Питер Хиггс «за теоретическое открытие механизма, который позволяет лучше понять возникновение массы субатомных частиц».",0
